,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
58,-73.9745630038492,40.7692602628745,5E-AM-1008-06,05E,AM,10082018,6,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,True,False,False,,POINT (-73.9745630038492 40.7692602628745)
59,-73.95950023395079,40.7903365788694,32E-PM-1017-13,32E,PM,10172018,13,Adult,Gray,,Gray+,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,,,,False,False,False,True,True,,False,False,False,False,False,False,True,False,,POINT (-73.9595002339508 40.7903365788694)
60,-73.9741824992294,40.7689486657963,5F-PM-1007-03,05F,PM,10072018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,False,False,False,False,hiding nut,False,False,False,False,True,False,True,False,,POINT (-73.9741824992294 40.7689486657963)
61,-73.9749243901189,40.7761393551781,11B-PM-1014-05,11B,PM,10142018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9749243901189 40.7761393551781)
62,-73.968381325559,40.7780143443779,16E-PM-1018-06,16E,PM,10182018,6,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,On a rock,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.968381325559 40.7780143443779)
63,-73.96942403275091,40.7755898126674,13F-AM-1007-02,13F,AM,10072018,2,Adult,Cinnamon,White,Cinnamon+White,,,,,False,False,False,True,True,,False,False,False,False,False,False,True,False,,POINT (-73.96942403275091 40.7755898126674)
64,-73.9689000978955,40.7828364735236,20B-PM-1013-10,20B,PM,10132018,10,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,False,False,False,False,True,drank from a pond of rain water,False,False,False,False,False,False,True,False,,POINT (-73.9689000978955 40.7828364735236)
65,-73.9804528867547,40.7696753655986,3A-PM-1017-05,03A,PM,10172018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9804528867547 40.76967536559861)
66,-73.9576245992455,40.7873862510001,29H-PM-1006-01,29H,PM,10062018,1,Adult,Gray,,Gray+,,Above Ground,50,,False,False,True,False,False,sitting,False,False,False,False,False,False,True,False,,POINT (-73.9576245992455 40.7873862510001)
67,-73.9666007935638,40.7845098131567,23C-PM-1014-03,23C,PM,10142018,3,Adult,Gray,,Gray+,,Above Ground,8,,False,True,False,False,False,chasing (#4 across trees),False,False,False,False,False,False,False,False,,POINT (-73.9666007935638 40.7845098131567)
68,-73.96148483609001,40.7922645521905,33C-PM-1007-03,33C,PM,10072018,3,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.96148483609 40.7922645521905)
69,-73.95466541841459,40.7947639241491,38G-PM-1020-09,38G,PM,10202018,9,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,True,False,False,True,False,,POINT (-73.9546654184146 40.7947639241491)
70,-73.9667114027214,40.7768804702473,16G-PM-1017-01,16G,PM,10172018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9667114027214 40.7768804702473)
71,-73.9530035564643,40.792182245761296,36I-PM-1007-07,36I,PM,10072018,7,Adult,Gray,,Gray+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9530035564643 40.7921822457613)
72,-73.9615696577673,40.7951278622399,35A-AM-1014-03,35A,AM,10142018,3,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9615696577673 40.7951278622399)
73,-73.964474836001,40.7883840104749,28C-PM-1006-01,28C,PM,10062018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,False,False,False,False,False,gathering acorns,False,False,False,True,False,False,False,True,gnd to tree,POINT (-73.964474836001 40.7883840104749)
74,-73.9610705592868,40.7914829661051,32D-AM-1013-06,32D,AM,10132018,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,True,True,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,True,True,False,False,,POINT (-73.9610705592868 40.7914829661051)
75,-73.9688454483585,40.78453012881629,22A-AM-1008-05,22A,AM,10082018,5,Adult,Gray,White,Gray+White,,Above Ground,3,trash can,False,False,False,True,False,,False,False,False,True,False,False,False,True,,POINT (-73.9688454483585 40.7845301288163)
76,-73.9578237168359,40.7980959471034,40B-PM-1014-06,40B,PM,10142018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9578237168359 40.7980959471034)
77,-73.96882712024009,40.7809719445309,19C-PM-1018-01,19C,PM,10182018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,True,True,False,True,False,,False,False,False,False,True,False,True,False,,POINT (-73.9688271202401 40.7809719445309)
78,-73.9617088749928,40.7944585082367,35A-PM-1013-06,35A,PM,10132018,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9617088749928 40.7944585082367)
79,-73.9701824825872,40.776653057929295,14E-AM-1008-09,14E,AM,10082018,9,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,False,False,False,,True,False,False,False,False,False,False,True,,POINT (-73.9701824825872 40.7766530579293)
80,-73.9676410497481,40.7766043512974,15G-PM-1019-05,15G,PM,10192018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,4,,False,False,True,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9676410497481 40.7766043512974)
81,-73.9708726050721,40.7723572030236,10F-AM-1007-02,10F,AM,10072018,2,Adult,Gray,,Gray+,,Above Ground,70,,False,False,True,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9708726050721 40.7723572030236)
82,-73.95414534658171,40.798216222376396,42E-PM-1012-06,42E,PM,10122018,6,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,False,False,False,True,,POINT (-73.9541453465817 40.79821622237641)
83,-73.9683608295976,40.784292740532706,22B-AM-1013-04,22B,AM,10132018,4,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,Under bench,False,False,False,False,True,,False,False,False,False,False,False,False,True,ran from dog-walker,POINT (-73.9683608295976 40.7842927405327)
84,-73.968052057989,40.777338666528,15F-PM-1010-06,15F,PM,10102018,6,Adult,Gray,,Gray+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.968052057989 40.777338666528)
85,-73.97871808707359,40.7715877863274,5A-AM-1006-05,05A,AM,10062018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,near 65th St arch,False,False,False,False,True,,False,False,False,True,False,False,False,True,,POINT (-73.9787180870736 40.7715877863274)
86,-73.95659058682759,40.7895654068546,32H-PM-1006-01,32H,PM,10062018,1,,Gray,,Gray+,,Above Ground,,in the European Beech,False,False,True,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9565905868276 40.7895654068546)
